proteinGroups.nucl$LFQ.intensity.8hrsNI.Rep1	proteinGroups.nucl$LFQ.intensity.8hrsNI.Rep2	proteinGroups.nucl$LFQ.intensity.8hrsNI.Rep3	proteinGroups.nucl$LFQ.intensity.8hrsI.Rep1	proteinGroups.nucl$LFQ.intensity.8hrsI.Rep2	proteinGroups.nucl$LFQ.intensity.8hrsI.Rep3	proteinGroups.nucl$LFQ.intensity.24hrsNI.Rep1	proteinGroups.nucl$LFQ.intensity.24hrsNI.Rep2	proteinGroups.nucl$LFQ.intensity.24hrsNI.Rep3	proteinGroups.nucl$LFQ.intensity.24hrsI.Rep1	proteinGroups.nucl$LFQ.intensity.24hrsI.Rep2	proteinGroups.nucl$LFQ.intensity.24hrsI.Rep3
Solyc09g082780.2.1	0	0	0	0	0	0	0	0	0	0	5594100	0
Solyc09g082810.2.1	1311000	948000	1974600	1489800	1338200	5846100	2527800	2325700	2431200	1416700	0	1115700
Solyc09g082970.2.1	0	0	0	0	0	0	0	0	0	0	5089900	0
Solyc09g083000.2.1	26145000	16576000	18241000	25307000	15067000	20398000	28318000	19383000	18394000	19032000	9553800	22630000
Solyc09g083080.2.1	1.229e+09	1.113e+09	1320700000	1852200000	1038300000	914630000	1564500000	1403200000	1059800000	829750000	498040000	784210000
Solyc09g083150.2.1	0	0	0	0	0	0	0	0	0	0	5329900	0
Solyc09g083270.2.1	11692000	9490400	5744800	11102000	7890700	9246800	8652400	10287000	7085000	3219600	5247500	4997200
Solyc09g083370.2.1	0	0	0	0	0	0	0	0	0	0	0	303430
Solyc09g083380.2.1	858900000	59725000	117420000	711350000	28516000	209640000	1348200000	75098000	125330000	62803000	7379800	15254000
Solyc09g083420.2.1	5097700	6766500	5150200	8544200	9341000	6010100	6335800	10842000	6154600	3539900	2522000	6006800
Solyc09g090120.2.1	0	2056700	0	0	0	0	0	0	0	0	0	2406900
Solyc09g090250.2.1	0	0	0	0	0	0	0	0	0	0	0	1378800
Solyc09g090380.1.1	0	0	0	0	0	0	182010	0	0	0	0	0
Solyc09g090420.2.1	13929000	14254000	17251000	19856000	15591000	12341000	16791000	18503000	16120000	14631000	8682600	16501000
Solyc09g090520.2.1	4662500	2846200	2124400	1287800	3778700	1416800	2708400	1037400	1402000	10916000	22242000	9299700
Solyc09g090580.2.1	0	0	0	0	0	0	0	0	0	0	2499300	0
Solyc09g090660.2.1	698850000	717240000	651230000	737910000	763930000	417890000	618660000	696710000	569570000	593990000	388590000	590780000
Solyc09g090720.2.1	0	0	639570	1009700	1137700	833650	692300	2403500	1012500	1978500	5658700	2982800
Solyc09g090740.2.1	11787000	10193000	13143000	13623000	12585000	13030000	15217000	15242000	14553000	10758000	4454300	14084000
Solyc09g090810.1.1	0	0	0	0	0	1340100	0	0	0	0	0	0
Solyc09g090840.2.1	0	0	0	0	0	0	0	0	0	0	1231700	0
Solyc09g090940.2.1	0	0	0	0	0	0	0	0	0	2880200	0	0
Solyc09g091170.2.1	0	0	0	0	1119100	0	0	0	0	0	1204200	0
Solyc09g091190.2.1	0	499560	781200	0	430440	0	601910	504500	680860	0	0	0
Solyc09g091430.2.1	20714000	23300000	72549000	26459000	14028000	33567000	28115000	39265000	63935000	15416000	5756200	18967000
Solyc09g091440.2.1	15096000	9910900	15056000	9714500	8222800	6664800	17205000	11002000	15390000	11236000	5941900	14438000
Solyc09g091470.2.1	0	0	0	0	0	0	0	3235200	0	4609000	11158000	4449600
Solyc09g091590.2.1	4161600	4505500	4947100	11535000	7564900	7574000	3352900	7051500	7549000	25448000	14843000	28740000
Solyc09g091740.2.1	0	0	0	0	0	0	0	0	0	490400	0	0
Solyc09g091750.2.1	2091800	5675400	5624700	3744100	7202600	6664400	4204100	6092700	5369700	10207000	23850000	9886200
Solyc09g091830.2.1	5753400	3427700	7409800	1572900	2538700	2929700	6982600	4511000	7011400	5708300	4223400	8888400
Solyc09g092240.2.1	37095000	28935000	38103000	25833000	33350000	8821700	31929000	34495000	31456000	18307000	8484900	30921000
Solyc09g092250.2.1	63387000	59526000	45644000	80501000	66038000	40478000	68311000	72725000	49269000	35406000	15251000	51116000
Solyc09g092520.2.1	29863000	103670000	263430000	38545000	48258000	71510000	44823000	54551000	80754000	113810000	73894000	206050000
Solyc09g092720.2.1	0	0	0	0	0	0	5776200	0	0	0	0	0
Solyc09g097770.2.1	0	0	0	82521	0	0	0	0	0	555450	0	0
Solyc09g097780.2.1	3435100	4113300	8530500	2695700	2318500	4342600	3304600	3695600	2947600	1428500	0	0
Solyc09g097820.2.1	28797000	38852000	34895000	23743000	37093000	28021000	35196000	40159000	29516000	18540000	15460000	41252000
Solyc09g097910.2.1	13514000	15346000	4.4e+07	12785000	7252100	10387000	13220000	17853000	31695000	4711000	7236500	12532000
Solyc09g098150.2.1	0	0	0	0	0	0	0	0	0	190340	0	0
Solyc09g098360.2.1	10481000	14241000	18874000	16522000	11941000	7012900	13399000	19952000	22822000	7892600	4737100	8641800
Solyc10g005100.2.1	0	0	0	0	1832400	0	1747200	0	0	11946000	34395000	10880000
Solyc10g005330.2.1	5220800	2774900	2954200	3542100	2952400	0	5060500	2409400	2304500	1776100	0	0
Solyc10g005490.2.1	5371500	4329500	4408300	5604400	3828000	0	6141700	3133700	5728700	4096800	1745800	3575900
Solyc10g005530.2.1	108890000	141560000	269090000	153120000	198570000	189110000	103900000	185760000	258940000	167070000	86908000	133490000
Solyc10g005590.2.1	30483000	34221000	26850000	41457000	28692000	15695000	29603000	28304000	22787000	25957000	10404000	14763000
Solyc10g005700.2.1	0	552920	0	0	0	0	0	0	0	0	0	0
Solyc10g005800.2.1	3684800	14149000	20835000	13707000	8058300	10311000	10558000	18076000	17800000	10685000	2728700	20168000
Solyc10g005850.2.1	2141500	2268400	3918100	3444300	1968400	2333400	3421800	3096200	2654400	1584000	0	3508200
Solyc10g005900.2.1	1409400	1425600	1636900	2345400	1471500	0	2066100	2437300	0	0	0	1566200
Solyc10g005960.1.1	6359200	11268000	8043700	7767700	10284000	6539800	10920000	7934200	7360200	9371100	7266500	6406900
Solyc10g005990.2.1	6088200	12943000	10764000	7681200	8811600	8762600	7308900	10337000	7486000	9026500	10767000	8508700
Solyc10g006000.2.1	2815100	0	2966000	0	0	0	0	0	0	0	0	0
Solyc10g006050.2.1	2046000	1307900	0	0	0	0	1036300	702570	0	1335500	867860	1200100
Solyc10g006070.2.1	255980	0	0	0	0	0	0	0	0	0	0	0
Solyc10g006090.2.1	3877200	2511100	6663300	2620400	1985500	1462500	3154700	1748500	4817000	2058300	1485500	2390500
Solyc10g006100.2.1	1923600	1761000	1922100	2605000	1627800	0	1524200	2686600	2386200	2945900	0	2212400
Solyc10g006250.2.1	0	0	0	0	1527800	0	0	0	0	0	0	0
Solyc10g006260.2.1	8007800	8302500	9714700	13667000	13167000	12299000	8099900	11683000	11468000	6011500	4322600	12078000
Solyc10g006290.2.1	0	0	0	0	0	0	0	0	0	2580800	6947700	0
Solyc10g006330.2.1	0	0	0	0	0	0	0	0	0	1571700	0	0
Solyc10g006390.2.1	21713000	29980000	29471000	31706000	21934000	20915000	22358000	25822000	17565000	13286000	5457400	12905000
Solyc10g006560.2.1	0	0	0	4560300	3563600	354260	0	0	0	1643400	8437400	0
Solyc10g006770.2.1	34519000	43669000	43550000	53275000	45643000	51428000	31618000	30228000	45077000	25439000	17114000	34033000
Solyc10g006990.2.1	7524800	8924900	10687000	10044000	9156100	0	7076800	9345500	10750000	6407200	13533000	10726000
Solyc10g007120.2.1	0	2915500	0	0	0	0	0	0	0	3027000	4194400	0
Solyc10g007130.2.1	1029800	1337900	4103200	1307600	1567800	1348500	1238300	1526600	1509100	1065800	0	0
Solyc10g007150.2.1	3543200	2622500	4688100	4502800	3043900	4420200	3614900	2081000	4855100	10195000	10354000	9206500
Solyc10g007180.2.1	3076800	2123500	2033500	2311200	2121400	0	2148600	2545300	2572900	14428000	17789000	16880000
Solyc10g007280.2.1	0	0	0	0	0	0	0	0	0	0	0	356660
Solyc10g007340.2.1	9171700	8570700	14181000	9815500	11364000	7280200	8027200	11366000	14291000	3908800	2046600	7274900
Solyc10g007470.2.1	6964500	3995700	8970100	2482600	6649200	2429000	8151600	6965100	6371800	6031400	2114600	7961300
Solyc10g007480.2.1	0	0	0	0	981050	0	0	732340	0	1002600	0	0
Solyc10g007550.2.1	5911800	3611200	7009400	0	2626900	3582000	3573700	1986800	5837800	3231700	1501500	5713300
Solyc10g007690.2.1	11130000	109620000	146250000	66680000	158870000	258690000	38174000	99287000	150640000	214120000	437480000	375470000
Solyc10g007760.2.1	1686100	4165000	4714300	1571200	1947700	2522800	2471100	10965000	3500200	3071100	5880600	1004700
Solyc10g007810.2.1	0	0	0	0	0	0	0	0	0	0	2112000	0
Solyc10g008010.2.1	0	2775900	1832300	2131500	1712300	1924300	2137400	1553400	3179000	2802100	7201700	3908200
Solyc10g008070.2.1	23279000	19306000	21042000	23203000	17167000	25814000	21522000	14785000	18878000	16115000	6917800	16608000
Solyc10g008110.2.1	0	0	0	0	0	0	0	0	0	2228800	2859700	0
Solyc10g008130.2.1	0	0	0	0	0	0	690470	0	0	0	0	0
Solyc10g008640.2.1	0	0	0	0	0	0	0	0	0	969410	1990800	0
Solyc10g008800.2.1	3072600	2367000	3217100	1969300	1744900	2807300	2357300	2605400	2470200	6864400	5681900	5489400
Solyc10g008950.2.1	49746000	41506000	79696000	36017000	35776000	51912000	54303000	45272000	52669000	58230000	26217000	59473000
Solyc10g009070.2.1	57159000	52107000	34057000	76679000	83286000	42259000	47869000	76119000	54990000	37775000	21869000	42180000
Solyc10g009200.2.1	0	0	0	0	0	0	0	0	714770	0	0	0
Solyc10g009220.2.1	1400600	1288000	855650	1098800	1333800	1462300	1386000	0	1375000	15323000	11062000	13698000
Solyc10g009330.2.1	31983000	33926000	40807000	24091000	27652000	25324000	23932000	26269000	36108000	14556000	9422600	18073000
Solyc10g009410.1.1	4699500	5607900	4480600	4754200	4331000	3391300	6892800	11040000	4737300	6930700	5343200	6892900
Solyc10g009570.2.1	39340000	45883000	42842000	38108000	52090000	60143000	52492000	55748000	65654000	38014000	180590000	36641000
Solyc10g017530.2.1	16922000	22451000	22141000	9248900	19030000	9831400	13311000	19314000	19009000	18337000	18200000	17648000
Solyc10g017850.2.1	2207300	1804800	1883200	1911400	1396900	3821900	6152400	1726700	1406000	12365000	27166000	13557000
Solyc10g017920.1.1	48645000	25411000	30021000	7741900	17996000	18076000	29055000	13144000	26528000	25481000	9762900	21841000
Solyc10g018520.1.1	7200300	5114700	4782000	9424600	9122500	6243400	5204600	8379800	6878800	5903400	5751500	7967500
Solyc10g019030.1.1	332400000	0	0	303540000	0	0	0	417340000	0	0	0	0
Solyc10g031550.1.1	1710900	556280	710810	0	0	605580	666370	0	0	3158000	491770	572620
Solyc10g031560.1.1	54115000	25992000	27147000	8298800	18547000	23749000	23522000	16312000	26447000	19817000	8833100	26572000
Solyc10g039190.1.1	138190000	148290000	155680000	176070000	175160000	163750000	132700000	156150000	149750000	81496000	51488000	138950000
Solyc10g044960.1.1	10419000	13469000	17382000	34055000	27435000	18015000	19922000	18556000	23690000	20537000	20485000	12317000
Solyc10g045190.1.1	0	0	0	0	0	0	0	757370	0	0	0	0
Solyc10g045220.1.1	0	0	0	0	0	0	0	0	0	0	3604100	0
Solyc10g045240.1.1	2128500	2963600	4603300	2484300	9094900	3010500	2356200	3709400	4253600	7035800	16837000	19486000
Solyc10g045390.1.1	613120	0	0	0	0	0	0	0	0	0	0	0
Solyc10g045400.1.1	0	0	991560	0	0	0	0	0	0	0	0	0
Solyc10g045550.1.1	0	471660	422810	0	376820	0	345920	0	298540	0	1696100	0
Solyc10g047000.1.1	23344000	22439000	39999000	42374000	15974000	17519000	29866000	43439000	52241000	18452000	9729400	22077000
Solyc10g047050.1.1	1945900	1999400	1806100	0	2308900	4645800	1885200	2061300	2377800	1897200	0	2394200
Solyc10g047130.1.1	33330000	36589000	22467000	52655000	25930000	10247000	43049000	45181000	20332000	30454000	15282000	11977000
Solyc10g047220.1.1	11812000	14931000	7023300	19571000	20458000	12165000	11622000	15873000	9205700	12845000	9364100	9452200
Solyc10g047290.1.1	0	0	0	0	0	0	0	0	0	0	0	814780
Solyc10g047320.1.1	0	0	0	0	0	0	0	0	599950	688140	0	1400000
Solyc10g047360.1.1	0	4616000	5284300	3656100	0	3020700	5182200	0	0	4956300	0	3281900
Solyc10g047400.1.1	0	0	0	0	0	0	567070	0	0	0	0	0
Solyc10g047410.1.1	0	0	0	0	0	0	0	0	0	0	0	3128000
Solyc10g047650.1.1	0	0	0	0	0	0	0	0	0	2166400	2768600	1473600
Solyc10g049930.1.1	0	0	0	0	0	0	0	0	0	1471900	0	0
Solyc10g049970.1.1	31235000	19220000	39744000	46952000	32548000	23611000	36952000	56319000	109960000	49481000	29644000	55706000
Solyc10g050110.1.1	5899500	9717300	11805000	3058500	13828000	5320400	16896000	19831000	21319000	4342500	4461000	10224000
Solyc10g050540.1.1	1569500	2724100	3545000	3719800	4803400	2886400	4303600	3421900	4990300	5390500	3687000	4162400
Solyc10g050860.1.1	1807200	4008700	2938200	4612000	3298000	0	3531200	3141600	2393800	1878700	2080200	3873700
Solyc10g051020.1.1	0	0	0	0	0	0	0	0	0	773130	1274300	0
Solyc10g051340.1.1	4054200	1899300	554200	2472600	2108300	1793700	2969800	3233000	1580400	2707600	7815100	1484700
Solyc10g051380.1.1	0	0	0	0	866290	0	1377700	0	0	2698300	2203200	1828900
Solyc10g051390.1.1	5975200	6830100	2631600	9934500	8559600	3591700	4996000	6136500	2360900	26994000	47287000	18542000
Solyc10g052660.1.1	0	67946	0	87125	92896	927400	462710	303750	129470	165350	3109500	132150
Solyc10g052740.1.1	0	0	0	0	0	0	0	0	0	0	0	6646500
Solyc10g054330.1.1	15683000	14643000	24960000	8389800	7797800	5036500	12838000	13993000	17636000	20489000	5039400	12495000
Solyc10g054420.1.1	0	0	0	0	0	0	0	0	0	1223900	4583100	0
Solyc10g054860.1.1	15441000	5445200	16752000	10889000	15049000	0	9941500	11990000	13926000	7584300	7633900	9900300
Solyc10g054880.1.1	0	0	0	0	0	0	565560	550610	0	693730	843260	0
Solyc10g055450.1.1	0	0	188650	0	0	0	0	0	0	0	0	0
Solyc10g055640.1.1	32767000	34093000	23105000	26422000	35462000	33417000	24851000	27685000	41886000	22042000	12191000	38726000
Solyc10g061930.1.1	0	779350	0	0	0	0	0	0	0	0	0	0
Solyc10g062180.1.1	17785000	14488000	17514000	7966800	11137000	3923900	10207000	12139000	19484000	9665900	5537400	16153000
Solyc10g062340.1.1	280610000	268280000	271730000	171190000	182500000	110400000	203540000	1.92e+08	198360000	184580000	84349000	126520000
Solyc10g074560.1.1	31518000	22879000	24151000	28164000	28745000	24058000	28101000	31008000	29315000	12968000	8257800	24220000
Solyc10g074650.1.1	0	0	0	0	0	0	0	1450400	0	0	0	0
Solyc10g074820.1.1	47529000	13739000	13987000	32654000	22730000	19128000	32364000	26650000	18624000	8454500	12529000	9795800
Solyc10g074920.1.1	0	0	0	0	0	0	0	0	0	1625500	0	0
Solyc10g076350.1.1	0	0	0	0	0	0	0	0	0	0	3447000	0
Solyc10g076690.1.1	486800	519640	0	0	0	0	0	0	0	0	0	0
Solyc10g076870.1.1	18130000	12199000	27651000	12770000	12438000	14304000	18404000	19368000	23628000	13097000	7256700	18803000
Solyc10g076910.1.1	17764000	22662000	23283000	44352000	43446000	31863000	23467000	37159000	29968000	33135000	25636000	28172000
Solyc12g099990.1.1	3280000	7219700	6018800	3160300	4519100	7869100	5380700	0	4664400	8073900	10555000	11362000
Solyc10g077040.1.1	1309900	4119700	2276400	772380	2421500	2274100	867750	1831500	2063300	2846900	8946200	2490200
Solyc10g077070.1.1	708180000	504560000	586720000	736360000	485780000	800490000	719420000	607680000	658930000	442740000	190070000	504100000
Solyc10g078180.1.1	50863000	42087000	56696000	46165000	71158000	71476000	48570000	52542000	70958000	31898000	26374000	53986000
Solyc10g078320.1.1	0	590220	0	0	0	0	0	0	763130	0	0	0
Solyc10g078490.1.1	0	0	0	0	0	0	0	0	0	0	0	631130
Solyc10g078520.1.1	0	0	530440	0	0	0	0	0	0	0	0	0
Solyc10g078540.1.1	40075000	219030000	147560000	387050000	238890000	180560000	80727000	146150000	168890000	23212000	24091000	84229000
Solyc10g078660.1.1	7721500	23467000	12095000	11051000	19981000	14494000	11662000	16313000	8759900	5225300	4523500	15720000
Solyc10g078750.1.1	27328000	23334000	36816000	31963000	33579000	13497000	30995000	41177000	26771000	27081000	14639000	23609000
Solyc10g078860.1.1	5291500	4764300	4303600	4547500	3315200	5239700	5161600	5018700	5482200	5238500	2288100	4471200
Solyc10g078920.1.1	0	0	0	0	0	0	0	0	0	0	0	1400400
Solyc10g078960.1.1	13678000	24765000	5126500	12089000	15923000	9256200	15040000	11624000	7003700	11989000	14861000	13513000
Solyc10g079000.1.1	0	0	0	0	0	0	0	0	0	0	1081900	0
Solyc10g079090.1.1	7377400	10578000	13724000	13490000	6232800	11563000	11645000	16091000	13415000	6908800	3742800	9613600
Solyc10g079130.1.1	0	0	0	2008700	1656400	0	1565700	0	0	9429400	5642300	2269300
Solyc10g079190.1.1	10663000	6731700	4860400	12474000	9673600	10674000	7793300	9865400	6794700	8505600	6193800	7438400
Solyc10g079430.1.1	6822000	17334000	17773000	16085000	13309000	9284900	16495000	18781000	24838000	7532600	3836800	8159100
Solyc10g079470.2.1	0	1785200	0	1402200	1645200	0	0	0	0	2244200	13159000	2793300
Solyc10g079580.1.1	1497500	983990	1785800	0	0	0	1223700	1390400	1296400	1939400	0	1283900
Solyc10g079850.1.1	1070200	0	0	0	0	0	0	0	0	0	0	0
Solyc10g079860.1.1	8835000	13114000	16412000	18770000	20231000	28099000	12618000	27335000	16656000	16848000	17249000	22200000
Solyc10g079890.1.1	0	0	0	0	0	0	0	0	0	0	0	2670300
Solyc10g080040.1.1	5675200	4080900	1691700	2842300	2914100	0	2527700	2455000	1342200	0	0	1474500
Solyc10g080090.1.1	34239000	19738000	33625000	24914000	19563000	13722000	31026000	28586000	28318000	25456000	6867100	33326000
Solyc10g080180.1.1	81829000	195800000	148390000	167570000	171290000	112040000	173030000	194380000	135790000	75092000	66619000	127270000
Solyc10g080350.1.1	36817000	21024000	30665000	27591000	23875000	6546700	25355000	21787000	29067000	21646000	8933700	31938000
Solyc10g080430.1.1	21315000	22594000	21671000	30745000	49688000	25364000	21541000	25886000	27406000	24877000	26009000	15848000
Solyc10g080480.1.1	15683000	12109000	12159000	15240000	11851000	4598100	15393000	16132000	12820000	17121000	6730700	9617100
Solyc10g080590.1.1	0	0	0	0	0	0	0	0	0	0	0	1149300
Solyc10g080660.1.1	0	0	0	0	0	0	0	0	0	853730	800720	428810
Solyc10g080700.1.1	1731000	1360900	1702400	1237000	1541000	0	1487500	1381300	2423900	1254800	0	0
Solyc10g080770.1.1	8593400	5108900	4553300	16767000	14354000	10938000	8290500	8013900	8351700	36387000	28221000	21835000
Solyc10g080940.1.1	10573000	22213000	10615000	13823000	17880000	10281000	10082000	23828000	13640000	9928400	13046000	10942000
Solyc10g081020.1.1	197880000	139690000	208990000	163640000	117580000	196800000	163470000	119850000	215370000	138950000	74660000	176380000
Solyc10g081030.1.1	0	2840600	4341200	2140900	3257000	2180700	2968800	3721200	0	8509400	9609900	7319600
Solyc10g081070.1.1	734220000	934590000	759970000	1553200000	1.183e+09	1082700000	890190000	1142800000	1224300000	1007800000	799750000	718510000
Solyc10g081090.1.1	0	0	0	0	0	0	0	0	0	3913900	0	0
Solyc10g081100.1.1	1725400	30288000	4851200	6397100	20420000	35789000	15490000	10104000	7092100	23854000	28201000	42580000
Solyc10g081120.1.1	0	0	0	0	1940200	0	0	0	0	2403800	4166100	2980900
Solyc10g081240.1.1	0	866140	0	0	0	1514200	0	0	0	6114100	4685100	3356100
Solyc10g081330.1.1	3377300	3213200	4159100	6156200	5132700	4483900	6554400	7664000	5710100	4823800	2397500	3202900
Solyc10g081370.1.1	33028000	19748000	43214000	49601000	67599000	25122000	19897000	46747000	57855000	37711000	42473000	27373000
Solyc10g081470.1.1	0	0	0	0	0	0	0	0	0	0	1952300	0
Solyc10g081510.1.1	34028000	41510000	26759000	42556000	70651000	26385000	38086000	35982000	23038000	97064000	139470000	49543000
Solyc10g081530.1.1	3626400	2877100	5360200	4466200	4160100	3129300	4256200	3661400	4694400	9234100	17300000	9822500
Solyc10g081610.1.1	0	0	0	0	0	656950	0	0	0	1460300	0	893860
Solyc10g081720.1.1	5013500	1694000	1183000	0	1130400	1295500	3331700	1002700	1166000	1176200	1704500	1238400
Solyc10g081820.1.1	2919200	2511900	6245200	3721400	1637500	7894200	4653800	5407500	12278000	6946400	4283300	7251400
Solyc10g081920.1.1	10556000	12129000	10739000	12790000	13236000	11782000	13566000	13269000	12091000	17837000	16090000	18045000
Solyc10g083150.1.1	16486000	20398000	16302000	24931000	15241000	12176000	14694000	24401000	17131000	17863000	9214800	15692000
Solyc10g083200.1.1	25320000	18634000	27797000	19656000	16860000	20395000	23997000	24928000	17783000	21360000	12548000	15653000
Solyc10g083290.1.1	9855600	25188000	24618000	50163000	31755000	33803000	35675000	36550000	28972000	108540000	99285000	132550000
Solyc10g083300.1.1	0	0	2149800	0	2378000	0	0	3172100	4301100	2296000	1927800	4433000
Solyc10g083520.1.1	16154000	18786000	16966000	8186800	9875700	15178000	14558000	8700600	13038000	5900500	4697800	7433000
Solyc10g083590.1.1	1639300	1579600	1718900	2372700	1701500	1003800	2067700	1467200	1399000	1364900	858020	949090
Solyc10g083600.1.1	30148000	26396000	39431000	49002000	27693000	14110000	29195000	47170000	46217000	22942000	6697800	29016000
Solyc10g083640.1.1	46328000	47876000	70050000	24050000	26308000	49854000	32257000	29608000	71888000	25652000	30581000	57910000
Solyc10g083740.1.1	0	0	0	0	0	0	2739900	0	0	0	0	0
Solyc10g083800.1.1	0	0	0	0	0	427770	0	0	0	0	0	0
Solyc10g083920.1.1	2556700	2013200	1588400	1843200	1735400	1160500	1783900	1602100	1891300	1802100	1331600	1904300
Solyc10g083930.1.1	0	0	0	0	0	1220600	0	0	0	2208700	2336900	1386900
Solyc10g084160.1.1	13077000	7926700	8356200	12380000	10583000	7602400	9803900	10291000	10129000	6574100	2479200	7171200
Solyc10g084200.1.1	0	2690000	0	0	0	0	0	0	0	0	0	0
Solyc10g084210.1.1	1326900	1231300	1160300	1224600	1497600	0	2565900	1497900	573950	786250	1291700	1579100
Solyc10g084220.1.1	2785600	1589100	1729800	1951100	1677400	1414500	2536500	1805600	2106300	1739500	0	1443900
Solyc10g084280.1.1	0	0	0	0	0	0	0	0	0	833510	0	0
Solyc10g084300.1.1	0	0	0	0	0	0	0	730070	0	0	1848200	673850
Solyc10g084350.1.1	13660000	16741000	16479000	13334000	19268000	24010000	30898000	17705000	16551000	18117000	25636000	27319000
Solyc10g084840.1.1	0	0	0	0	0	0	0	0	186180	0	0	209000
Solyc10g085020.1.1	61791000	88427000	57316000	37468000	68186000	46300000	50509000	55914000	70713000	38952000	69957000	60543000
Solyc10g085410.1.1	10297000	8094600	8639300	13865000	10845000	5729700	10393000	11232000	8248000	13553000	4700400	7851800
Solyc10g085460.1.1	0	0	0	0	0	0	1351500	0	0	0	0	0
Solyc10g085560.1.1	88503000	57081000	74132000	101300000	65734000	68719000	76338000	65405000	84773000	48932000	21147000	55044000
Solyc10g085580.1.1	28026000	25703000	25307000	32468000	34840000	28957000	31815000	39210000	37140000	13233000	4864200	28291000
Solyc10g085590.1.1	0	0	0	0	0	0	0	0	0	4057300	7943800	2580900
Solyc10g085680.1.1	1199700	919060	905010	1689200	1600000	0	0	1054500	0	2634100	6432100	0
Solyc10g085970.1.1	21085000	32146000	13340000	31176000	32757000	18838000	20913000	25486000	15878000	17578000	9062600	17070000
Solyc10g086010.1.1	42210000	66444000	31278000	63440000	81582000	55109000	48014000	64268000	46386000	43426000	77948000	47122000
Solyc10g086040.1.1	0	0	0	0	0	0	0	0	0	347860	0	0
Solyc10g086190.1.1	1445900	1229200	0	0	1472600	0	0	0	0	2635400	10540000	2140200
Solyc10g086280.1.1	0	0	0	0	0	0	0	0	0	0	0	1120800
Solyc10g086350.1.1	0	0	0	0	0	0	0	0	0	0	2513400	0
Solyc10g086400.1.1	36530000	138080000	171520000	100330000	109300000	108100000	94969000	163070000	216020000	64333000	28503000	86519000
Solyc10g086760.1.1	0	0	0	0	0	0	1499500	0	0	0	0	0
Solyc11g005110.1.1	5967500	6065400	5046900	4891400	6721500	0	5874700	6673200	6816900	6310200	3219200	8863900
Solyc11g005130.1.1	16319000	12606000	16096000	18028000	18234000	21799000	13463000	10763000	17416000	12780000	7045800	22194000
Solyc11g005150.1.1	909960	1570100	919080	0	0	1082900	0	0	1101600	0	947250	0
Solyc11g005170.1.1	179600000	227800000	143420000	242840000	248010000	173020000	195750000	289520000	172420000	178210000	122020000	165200000
Solyc11g005220.1.1	0	0	0	0	0	0	0	0	0	0	3611300	0
Solyc11g005380.1.1	20809000	16440000	23953000	31671000	23885000	34226000	19264000	17768000	24582000	42477000	16657000	46251000
Solyc11g005450.1.1	0	0	1338600	1834500	1554200	2093800	2338400	1848800	2164800	2338200	2116200	3969200
Solyc11g005570.1.1	0	0	144000	0	0	0	0	0	0	0	0	0
Solyc11g005600.1.1	6932900	3788800	3388600	4581600	4435400	3289400	5513100	4050000	2457000	4500000	2972300	3040800
Solyc11g006020.1.1	0	0	0	0	0	0	0	0	0	707800	5052700	360230
Solyc11g006060.1.1	530290	780670	0	1400800	1388300	0	1083800	915410	0	2798200	32147000	2086800
Solyc11g006170.1.1	23505000	14069000	28601000	18061000	15804000	30325000	24608000	16359000	26029000	13764000	7798800	24870000
Solyc11g006190.1.1	299870000	198100000	351440000	3.29e+08	218760000	295040000	295870000	234500000	266810000	162070000	48662000	158880000
Solyc11g006390.1.1	4415900	3345800	5245800	8827900	5299800	2460700	10188000	5491700	4342300	3885900	2924400	3738100
Solyc11g006460.1.1	27525000	32697000	37321000	13153000	31353000	27575000	20811000	22972000	39633000	36548000	28646000	43716000
Solyc11g006760.1.1	0	0	479930	0	0	0	0	0	439830	0	0	458900
Solyc11g006820.1.1	41114000	79512000	63027000	85309000	106620000	90116000	66712000	123640000	78360000	65318000	56492000	53204000
Solyc11g007010.1.1	26025000	20815000	23714000	18398000	25405000	10202000	22468000	27885000	28278000	14502000	8817900	22866000
Solyc11g007110.1.1	0	0	0	0	0	0	0	0	299330	0	0	0
Solyc11g007610.1.1	11107000	6529000	10348000	3333900	6044900	4930500	10839000	6958800	13089000	4540100	1755500	9902400
Solyc11g007850.1.1	0	437680	0	0	0	0	0	0	0	0	0	0
Solyc11g007920.1.1	99834000	299530000	6421700	138010000	72784000	21637000	385220000	896200000	7811800	196710000	48882000	10739000
Solyc11g007930.1.1	5018000	10483000	9660900	8775500	11884000	1526000	19454000	37435000	2263700	12871000	5787700	397420
Solyc11g008120.1.1	6734900	5405500	9900000	3958700	6511700	5998800	6403900	6664100	10179000	4457900	5818800	7770400
Solyc11g008130.1.1	8405900	5587400	6300200	12681000	8264400	8140600	8379400	5714900	9301000	7867800	4218900	6043600
Solyc11g008150.1.1	43539000	21911000	48217000	13809000	12249000	18908000	22579000	15988000	32211000	9791500	10179000	17778000
Solyc11g008210.1.1	8857100	9338100	4475200	7642200	5096400	1854400	6007000	6816400	5321400	10140000	3881500	2573300
Solyc11g008290.1.1	0	0	132920	0	0	0	0	0	0	0	0	0
Solyc11g008320.1.1	1180200	802720	2095400	0	443720	0	1323400	513300	1342200	632130	772140	992560
Solyc11g008360.1.1	0	3550400	954550	0	1504900	839840	0	1397600	1182600	0	0	0
