proteinGroups.nucl$LFQ.intensity.8hrsNI.Rep1	proteinGroups.nucl$LFQ.intensity.8hrsNI.Rep2	proteinGroups.nucl$LFQ.intensity.8hrsNI.Rep3	proteinGroups.nucl$LFQ.intensity.8hrsI.Rep1	proteinGroups.nucl$LFQ.intensity.8hrsI.Rep2	proteinGroups.nucl$LFQ.intensity.8hrsI.Rep3	proteinGroups.nucl$LFQ.intensity.24hrsNI.Rep1	proteinGroups.nucl$LFQ.intensity.24hrsNI.Rep2	proteinGroups.nucl$LFQ.intensity.24hrsNI.Rep3	proteinGroups.nucl$LFQ.intensity.24hrsI.Rep1	proteinGroups.nucl$LFQ.intensity.24hrsI.Rep2	proteinGroups.nucl$LFQ.intensity.24hrsI.Rep3
Solyc01g091920.2.1	1623200	0	1202900	0	1623000	0	1866900	1119400	0	0	0	0
Solyc01g093970.2.1	3882100	2765200	2341400	5376200	3448600	1690000	4582800	2316400	3375000	6114600	2854800	1787400
Solyc01g094030.2.1	0	0	0	0	0	0	3577000	0	0	3981500	0	0
Solyc01g094290.2.1	838170	1029200	817370	825060	844540	1514500	1089900	925100	1638300	1184100	1766600	2170800
Solyc01g094350.2.1	933200	0	1341200	0	0	0	0	0	0	1063700	0	1824000
Solyc01g094370.2.1	72323000	69671000	56255000	62727000	24177000	36799000	86693000	27260000	45204000	25193000	28857000	38292000
Solyc01g094410.2.1	18447000	22496000	20570000	22069000	31509000	22175000	19792000	25305000	21621000	30321000	31579000	27049000
Solyc01g094420.2.1	76881000	71077000	55717000	82435000	45933000	67559000	69252000	68200000	57015000	60722000	20389000	41528000
Solyc01g094460.2.1	157730000	121520000	209830000	184500000	136010000	238490000	205480000	147490000	176450000	65605000	25597000	93653000
Solyc01g094480.2.1	178440000	311090000	245200000	415840000	369810000	346570000	188850000	350610000	307640000	216130000	133810000	159010000
Solyc01g094540.2.1	0	2293800	0	0	0	0	0	0	0	0	0	0
Solyc01g094560.2.1	0	10006000	1999100	2365500	24558000	17029000	2744800	5027800	1917700	2896600	29339000	7411100
Solyc01g094620.2.1	1148500	0	1742600	1234900	871660	0	1882000	920490	1503900	1058900	1122000	1255100
Solyc01g094760.2.1	2410400	1061400	1146900	2000500	1394300	1505500	0	0	1184400	2763700	0	1421700
Solyc01g094800.2.1	24907000	18223000	27401000	28611000	20933000	6102800	31048000	22815000	25374000	15397000	7281600	16930000
Solyc01g094960.2.1	0	0	0	0	0	0	0	0	0	0	1076600	0
Solyc01g095040.2.1	818420	769440	811520	0	0	0	636050	0	0	0	0	0
Solyc01g095070.2.1	0	0	0	0	0	0	0	0	0	4949200	4285400	6992400
Solyc01g095450.2.1	13313000	8739300	12995000	15703000	6242600	6873200	12810000	11787000	11454000	7133800	2489800	9084500
Solyc01g095480.2.1	0	2845700	2585900	2567700	2598600	3349000	3328700	1955100	2015200	1124700	1124100	1446700
Solyc01g095650.2.1	7423100	48651000	37329000	16647000	27951000	40319000	29463000	40206000	39057000	25777000	11262000	20118000
Solyc01g095740.2.1	33564000	43617000	27461000	46045000	45291000	29587000	24845000	27022000	23269000	31931000	27252000	24284000
Solyc01g095790.2.1	1186000	2554700	3072000	2840000	2663900	5890100	2761200	2739600	4348000	3819000	2237200	3189600
Solyc01g095900.2.1	1735000	2078900	1254700	0	2690300	0	1356300	1748500	1250300	0	0	0
Solyc01g095970.2.1	32935000	40862000	27191000	41458000	34058000	42302000	33097000	38195000	33516000	59001000	46253000	61443000
Solyc01g096040.2.1	116240000	189280000	276170000	185880000	175610000	127810000	174690000	425760000	219170000	107800000	45803000	105960000
Solyc01g096180.2.1	0	693430	650530	0	509490	0	0	0	0	0	0	0
Solyc01g096240.2.1	0	0	0	0	0	0	5237100	0	0	11084000	58151000	8252100
Solyc01g096370.2.1	1744100	1579200	721180	1038800	1519300	1734300	2137000	1656700	958730	0	0	0
Solyc01g096390.2.1	47719000	26138000	54049000	20194000	14739000	1492000	29866000	16843000	34048000	15054000	5815500	16504000
Solyc01g096450.2.1	1557300000	737350000	1437400000	1229400000	1.213e+09	736630000	845360000	1078100000	983890000	487470000	298720000	692920000
Solyc01g096480.2.1	3477500	6865800	9764200	1981300	13011000	25692000	17177000	4973800	2705300	5487800	12422000	2813300
Solyc01g096590.2.1	0	0	0	0	0	0	9450900	0	0	0	0	0
Solyc01g096600.2.1	89025000	82876000	120770000	67399000	88806000	63068000	89003000	74227000	89981000	69439000	38929000	92443000
Solyc01g096800.2.1	30118000	26546000	27278000	50318000	33105000	29506000	27297000	44290000	27769000	19036000	11225000	38011000
Solyc01g096830.2.1	0	0	0	0	0	0	0	0	0	1626700	0	0
Solyc01g096900.2.1	350390000	235790000	230840000	225460000	242170000	333950000	281060000	209070000	177570000	267390000	138440000	169490000
Solyc01g096950.2.1	7064600	5092600	3255000	7903900	4121600	3776600	6714100	3092200	2934000	3004100	2672400	2669000
Solyc01g097010.2.1	5213500	9594500	6450800	11459000	9726300	5930500	11780000	11432000	4258900	19091000	20479000	14634000
Solyc01g097030.2.1	1548500	0	3366700	0	0	0	0	0	0	0	0	0
Solyc01g097250.2.1	367600	348070	948580	0	375920	0	344260	298200	0	0	0	0
Solyc01g097320.2.1	4905700	2603100	5646900	4611900	3276900	1966000	5330600	3522700	5454400	5030200	2186300	7090000
Solyc01g097520.2.1	0	0	0	453750	530390	0	681020	1014000	240620	884770	3478600	0
Solyc01g097640.2.1	121410000	93544000	72378000	128570000	115170000	91169000	102030000	114880000	99165000	52340000	33878000	83975000
Solyc01g097760.2.1	2909200	9050600	4931500	4802800	14743000	2137900	6236900	8682900	4433600	5331800	3754800	3537100
Solyc01g097770.2.1	5900500	7783500	4167100	5550400	9270600	5137900	5029300	6777700	5059500	5824200	12043000	6005000
