proteinGroups.nonucl$LFQ.intensity.8hrsNI.Rep1	proteinGroups.nonucl$LFQ.intensity.8hrsNI.Rep2	proteinGroups.nonucl$LFQ.intensity.8hrsNI.Rep3	proteinGroups.nonucl$LFQ.intensity.8hrsI.Rep1	proteinGroups.nonucl$LFQ.intensity.8hrsI.Rep2	proteinGroups.nonucl$LFQ.intensity.8hrsI.Rep3	proteinGroups.nonucl$LFQ.intensity.24hrsNI.Rep1	proteinGroups.nonucl$LFQ.intensity.24hrsNI.Rep2	proteinGroups.nonucl$LFQ.intensity.24hrsNI.Rep3	proteinGroups.nonucl$LFQ.intensity.24hrsI.Rep1	proteinGroups.nonucl$LFQ.intensity.24hrsI.Rep2	proteinGroups.nonucl$LFQ.intensity.24hrsI.Rep3
Solyc01g108630.2.1	0	0	0	3689900	2648800	0	0	0	0	13985000	36052000	5563100
Solyc01g109260.2.1	0	0	2561800	0	2932200	0	0	0	0	4319400	0	8049900
Solyc03g120750.2.1	0	0	0	0	0	0	0	0	0	2474500	2404600	0
Solyc01g109650.2.1	2578000	5217600	6718900	1856400	2860700	3479500	3399300	4357700	7478600	6155800	1681600	5354600
Solyc01g109770.2.1	0	0	0	0	0	671620	0	0	0	898830	3216200	582680
Solyc01g109850.2.1	0	0	0	0	784230	0	479860	0	0	2269400	6442300	1118700
Solyc01g109940.2.1	2128600	4329900	2251200	2674900	3094200	0	3119100	3304100	3812400	6362100	10575000	6436500
Solyc01g110000.2.1	6868400	6298500	6112400	4058000	6577500	4227100	4330700	4955500	3917300	18036000	23343000	14216000
Solyc01g110060.2.1	0	0	8628600	0	0	4762700	0	0	6034300	3428400	0	3853800
Solyc01g110360.2.1	992590	874120	115000	16251000	32385000	2366100	4510400	725300	434100	118080000	410780000	59551000
Solyc01g110520.2.1	0	0	0	0	0	0	71027	0	0	0	0	0
Solyc01g110540.2.1	0	0	0	0	0	0	0	0	0	2009500	0	0
Solyc01g111080.2.1	16413000	30036000	53701000	15558000	32989000	56246000	36876000	72327000	26304000	40714000	51545000	52215000
Solyc01g111120.2.1	0	0	580430	0	1731400	0	0	0	0	4732000	8530300	0
Solyc01g111170.2.1	6360300	5815400	3832500	5544100	11421000	3015300	6630200	7050800	5087200	15168000	32168000	11644000
Solyc01g111400.2.1	132670000	202400000	1.38e+08	155370000	113990000	175650000	181950000	167630000	122220000	70766000	89147000	71851000
Solyc01g111450.2.1	0	1077100	0	0	0	0	1305100	0	0	1648300	5870600	1317600
Solyc01g111510.2.1	971500	2905800	5575900	4668900	3096900	6424400	8423100	4315800	6631700	28241000	63412000	14252000
Solyc01g111630.2.1	1021800	496860	170860	2638400	4813300	816120	1610800	698600	389790	57542000	163370000	24865000
Solyc01g111660.2.1	53346000	38485000	63380000	29028000	33604000	51070000	33636000	36554000	62543000	128790000	161070000	85726000
Solyc01g111670.2.1	0	0	0	0	0	0	0	0	0	852240	0	0
Solyc01g111760.2.1	133270000	193510000	93670000	230550000	268280000	195720000	167780000	199040000	183430000	261790000	863630000	162310000
Solyc01g111830.2.1	0	1662200	0	0	0	0	0	0	0	0	0	0
Solyc01g111990.2.1	0	0	0	0	314240	0	0	0	0	0	3328700	0
Solyc01g112000.2.1	3873100	12964000	7911100	4403500	4427100	3343100	10029000	9143100	11890000	3793800	7941100	7737400
Solyc01g112060.2.1	462680	229830	0	667830	681820	438750	361320	371230	303850	7855700	44559000	1366200
Solyc02g005210.2.1	0	0	0	0	0	0	0	0	0	698050	1724000	658950
Solyc02g014150.2.1	0	2047600	0	1379000	1082900	1748900	1549100	3309100	2087200	13652000	40307000	8217500
Solyc02g014830.2.1	4997900	4496800	8356500	7489600	5999600	7587800	7505700	4093800	8016000	6929900	3871000	6203900
Solyc02g020940.2.1	11102000	8829500	7283700	7721300	11940000	11965000	7146000	8613600	12058000	31413000	101670000	44926000
Solyc02g021140.2.1	3436300	18159000	6983100	6132200	8651700	18824000	22681000	9293700	8155100	5628400	3642300	8085400
Solyc10g078630.1.1	0	0	0	0	0	0	0	0	0	0	51605000	0
Solyc02g030130.2.1	0	0	0	0	0	0	1450200	0	0	0	0	0
Solyc02g031920.2.1	0	0	4284200	0	0	0	0	0	0	0	0	0
Solyc02g031950.2.1	4314600	8063400	7989300	0	6694300	5985800	3916500	6731500	5617000	4570300	6674600	8800900
Solyc02g036240.1.1	0	0	0	0	0	0	0	0	0	576020	0	503490
Solyc02g062300.2.1	0	0	0	0	0	0	0	0	0	2435600	0	1818000
Solyc02g062340.2.1	0	1037100	563810	20075000	37564000	1458100	6958200	732420	476320	124420000	426830000	82501000
Solyc02g062350.2.1	0	1324000	0	2600600	1122700	1390000	1413200	1164500	877810	4350900	5950100	3851100
Solyc02g063150.2.1	3930500	5877600	0	54721000	96806000	7502400	8713800	5519600	0	217810000	608660000	91041000
Solyc02g063490.2.1	0	0	1432600	0	0	0	0	0	0	1134900	3104600	2618900
Solyc02g064630.2.1	0	0	1112000	0	0	0	2328000	0	0	0	0	0
Solyc02g065090.2.1	0	0	0	0	0	0	0	0	0	2680200	11652000	1430700
Solyc02g065400.2.1	689580	16422000	29950000	32424000	74510000	27892000	15708000	20684000	33166000	1031200000	2393100000	604950000
Solyc02g067180.2.1	0	0	0	0	0	0	0	0	0	2178500	7681800	1773000
Solyc02g067460.2.1	3259300	9569400	6887600	6933400	5508300	12375000	6184900	15415000	8324200	31944000	82363000	14803000
Solyc02g094190.2.1	0	0	0	0	0	0	0	0	0	1891800	0	0
